patient_id,reference_loss,candidate_loss,retained_loss,movement_numerator,movement_denominator,movement_margin_contribution,PUC_contribution,NPI_contribution
12-153,0.04006044684798103,0.03742135732184039,0.04006044684798103,0.0869258367570527,0.15813587387960065,0.0853444780182567,0.0026390895261406483,0.0
12-211,0.060740740740740734,0.05685356975959269,0.060740740740740734,0.08698275104129692,0.31111687532003973,0.08387158228809652,0.003887170981148047,0.0
12-267,0.018484101128304925,0.018307569605295452,0.018484101128304925,0.09953172619499925,0.0748219147651358,0.0987835070473479,0.00017653152300947487,0.0
13-344,0.035259335556061255,0.034623446414906604,0.035259335556061255,0.057937085364633954,0.15705253179398374,0.05636656004669412,0.0006358891411546488,0.0
13-348,0.029313043839157477,0.03184742244988916,0.029313043839157477,0.06782268806714513,0.10878792064444899,0.06673480886070064,-0.002534378610731683,0.0
13-349,0.042437445968262426,0.03655667757720774,0.042437445968262426,0.07942733144657578,0.17045189736192704,0.07772281247295651,0.005880768391054674,0.0
13-447,0.017719741639343645,0.018459780305431266,0.017719741639343645,0.07233002477330935,0.07132553512344159,0.07161676942207494,-0.000740038666087621,0.0
13-471,0.014301163410766978,0.011309543456650854,0.014301163410766978,0.059100463992734026,0.05132643453896356,0.05858719964734439,0.002991619954116124,0.0
13-508,0.04072275765648087,0.0442620985192643,0.04072275765648087,0.04993270446874204,0.16567703633384678,0.048275934105403574,-0.00353934086278343,0.0
13-588,0.052945894060228045,0.04993113470127015,0.052945894060228045,0.05841087691116187,0.23984455889823972,0.05601243132217947,0.003014759358957894,0.0
13-660,0.02833887946517477,0.02689279979415536,0.02833887946517477,0.05383352434471253,0.10109548069450798,0.05282256953776745,0.0014460796710194061,0.0
13-687,0.04552206890915402,0.04180656418305806,0.04552206890915402,0.0565109486489227,0.18781882796960944,0.0546327603692266,0.003715504726095964,0.0
13-689,0.051621416238934334,0.05079790502333332,0.051621416238934334,0.06669719296711991,0.18634974089557332,0.06483369555816418,0.0008235112156010187,0.0
14-1063,0.04755083798907952,0.04664390970353974,0.04755083798907952,0.0782296241913782,0.18096900039849137,0.07641993418739329,0.0009069282855397737,0.0
14-1128,0.02726840155415715,0.028892872859024088,0.02726840155415715,0.06497337174491245,0.11068454670025413,0.06386652627790991,-0.0016244713048669361,0.0
14-1138,0.023480764044177836,0.028351350281967263,0.023480764044177836,0.09875047820075498,0.10551274785190709,0.09769535072223591,-0.004870586237789427,0.0
14-1189,0.037623708354506236,0.03803350372438767,0.037623708354506236,0.06540274635422001,0.1614889182022926,0.06378785717219708,-0.00040979536988143246,0.0
14-1319,0.06192002712816089,0.05105795473384961,0.06192002712816089,0.04730143967089921,0.23912583924985367,0.04491018127840068,0.010862072394311278,0.0
14-745,0.012870486848109907,0.017220651525341735,0.012870486848109907,0.09541450426808036,0.05179339360490176,0.09489657033203135,-0.004350164677231831,0.0
14-835,0.044687529567299794,0.04199422990233216,0.044687529567299794,0.09086733487686263,0.20235862058853066,0.08884374867097733,0.002693299664967631,0.0
14-839,0.035744535745909516,0.03811241071938219,0.035744535745909516,0.08341019646435646,0.1492958958374817,0.08191723750598165,-0.0023678749734726756,0.0
14-970,0.049453741877119754,0.043501771106760984,0.049453741877119754,0.06925046377791685,0.19507037848081607,0.0672997599931087,0.005951970770358767,0.0
14-998,0.046739088076619945,0.04369326086467923,0.046739088076619945,0.10401817767284663,0.2114614983874572,0.10190356268897206,0.0030458272119407194,0.0
15-1471,0.061203788427105305,0.06124339702830416,0.061203788427105305,0.08144089475234198,0.2627302158129804,0.07881359259421218,-3.9608601198858496e-05,0.0
16-2006,0.04060993645619034,0.039535271574707605,0.04060993645619034,0.06980231959864519,0.15330682016132752,0.06826925139703191,0.0010746648814827404,0.0
17-2631,0.03474562329971545,0.03229316042683673,0.03474562329971545,0.04454352027699216,0.1477929338126013,0.043065590938866145,0.0024524628728787197,0.0
17-2796,0.026343522892165162,0.025241831092817968,0.026343522892165162,0.08166791664612344,0.1406364877070134,0.08026155176905331,0.0011016917993471936,0.0
17-2864,0.037845068495040074,0.03718528185477818,0.037845068495040074,0.04068103072747886,0.15465072819530096,0.03913452344552585,0.0006597866402618963,0.0
17-2865,0.03635892413845304,0.030904956148148425,0.03635892413845304,0.08658084948612729,0.2021750972165026,0.08455909851396226,0.00545396799030462,0.0
17-3017,0.03279553604669805,0.03133789838071417,0.03279553604669805,0.06888530305359757,0.13660657295855014,0.06751923732401206,0.0014576376659838674,0.0
17-3041,0.056779911146761224,0.052888130065750265,0.056779911146761224,0.054452941359367533,0.24640961752353566,0.051988845184132174,0.0038917810810109635,0.0
18-3253,0.041044819207032346,0.04056120153345345,0.041044819207032346,0.059243828344971355,0.17326600442044204,0.057511168300766934,0.0004836176735788962,0.0
18-3282,0.04760181226591147,0.04689989195241093,0.04760181226591147,0.0747323124056815,0.20851759068856746,0.07264713649879583,0.0007019203135005389,0.0
18-3313,0.07593507186359731,0.07337576690521018,0.07593507186359731,0.05264295127792153,0.31574467570787196,0.04948550452084281,0.002559304958387123,0.0
608,0.0674941082798249,0.06615223392937743,0.0674941082798249,0.0633669221089939,0.2778651090895153,0.06058827101809875,0.001341874350447473,0.0
